,text,event_type,clean_text
50,"Goal!  Borussia Dortmund 3, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) right footed shot from very close range to the bottom right corner following a corner.",1,goal borussia dortmund hamburg kevin grosskreutz borussia dortmund right foot shot close range bottom right corner follow corner
51,Foul by Chris Lowe (Borussia Dortmund).,3,foul chris lowe borussia dortmund
52,Tomas Rincon (Hamburg) wins a free kick in the defensive half.,8,tomas rincon hamburg win free kick defensive half
53,Foul by Tomas Rincon (Hamburg).,3,foul tomas rincon hamburg
54,Shinji Kagawa (Borussia Dortmund) wins a free kick on the left wing.,8,shinji kagawa borussia dortmund win free kick leave wing
55,Foul by Marcell Jansen (Hamburg).,3,foul marcell jansen hamburg
56,Roman Weidenfeller (Borussia Dortmund) wins a free kick in the defensive half.,8,roman weidenfeller borussia dortmund win free kick defensive half
57,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,corner borussia dortmund concede heiko westermann
58,Attempt blocked. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is blocked. Assisted by Kevin Grosskreutz with a headed pass.,1,attempt block shinji kagawa borussia dortmund right foot shot outside box block assisted kevin grosskreutz head pas
59,"Corner,  Borussia Dortmund. Conceded by Marcell Jansen.",2,corner borussia dortmund concede marcell jansen
60,Dennis Diekmeier (Hamburg) wins a free kick in the defensive half.,8,dennis diekmeier hamburg win free kick defensive half
61,Foul by Sven Bender (Borussia Dortmund).,3,foul sven bender borussia dortmund
62,Shinji Kagawa (Borussia Dortmund) wins a free kick in the defensive half.,8,shinji kagawa borussia dortmund win free kick defensive half
63,"Corner,  Hamburg. Conceded by Felipe Santana.",2,corner hamburg concede felipe santana
64,Foul by Shinji Kagawa (Borussia Dortmund).,3,foul shinji kagawa borussia dortmund
65,Foul by Dennis Diekmeier (Hamburg).,3,foul dennis diekmeier hamburg
66,Mario Gotze (Borussia Dortmund) wins a free kick in the attacking half.,8,mario gotze borussia dortmund win free kick attack half
67,Anis Ben-Hatira (Hamburg) wins a free kick in the defensive half.,8,ani ben hatira hamburg win free kick defensive half
68,Foul by Tomas Rincon (Hamburg).,3,foul tomas rincon hamburg
69,Attempt blocked. Marcell Jansen (Hamburg) left footed shot from long range on the left is blocked.,1,attempt block marcell jansen hamburg leave footed shot long range leave blocked
70,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,corner hamburg concede lukasz piszczek
71,Attempt blocked. Michael Mancienne (Hamburg) right footed shot from the centre of the box is blocked. Assisted by Gokhan Tore with a cross.,1,attempt block michael mancienne hamburg right foot shot centre box block assist gokhan tore cross
72,Mario Gotze (Borussia Dortmund) wins a free kick in the attacking half.,8,mario gotze borussia dortmund win free kick attack half
73,"Offside, Hamburg. Tomas Rincon tries a through ball, but Gokhan Tore is caught offside.",9,offside hamburg tomas rincon try ball gokhan tore catch offside
74,Foul by Gojko Kacar (Hamburg).,3,foul gojko kacar hamburg
75,Ilkay Gundogan (Borussia Dortmund) wins a free kick in the attacking half.,8,ilkay gundogan borussia dortmund win free kick attack half
76,Gojko Kacar (Hamburg) is shown the yellow card for a bad foul.,4,gojko kacar hamburg show yellow card bad foul
77,Foul by Tomas Rincon (Hamburg).,3,foul tomas rincon hamburg
78,Foul by Ilkay Gundogan (Borussia Dortmund).,3,foul ilkay gundogan borussia dortmund
79,Tomas Rincon (Hamburg) is shown the yellow card for a bad foul.,4,tomas rincon hamburg show yellow card bad foul
80,Mladen Petric (Hamburg) wins a free kick in the defensive half.,8,mladen petric hamburg win free kick defensive half
81,Foul by Kevin Grosskreutz (Borussia Dortmund).,3,foul kevin grosskreutz borussia dortmund
82,"Offside, Hamburg. Heiko Westermann tries a through ball, but Anis Ben-Hatira is caught offside.",9,offside hamburg heiko westermann try ball ani ben hatira catch offside
83,"Substitution, Hamburg. Robert Tesche replaces Gojko Kacar.",7,substitution hamburg robert tesche replaces gojko kacar
84,Gokhan Tore (Hamburg) wins a free kick in the defensive half.,8,gokhan tear hamburg win free kick defensive half
85,"Corner,  Hamburg. Conceded by Chris Lowe.",2,corner hamburg concede chris lowe
86,Foul by Robert Tesche (Hamburg).,3,foul robert tesche hamburg
87,Robert Lewandowski (Borussia Dortmund) wins a free kick in the defensive half.,8,robert lewandowski borussia dortmund win free kick defensive half
88,"Substitution, Borussia Dortmund. Ivan Perisic replaces Chris Lowe.",7,substitution borussia dortmund ivan perisic replaces chris lowe
89,"Substitution, Borussia Dortmund. Jakub Blaszczykowski replaces Mario Gotze.",7,substitution borussia dortmund jakub blaszczykowski replaces mario gotze
90,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,corner hamburg concede lukasz piszczek
91,Attempt blocked. Marcell Jansen (Hamburg) header from the centre of the box is blocked. Assisted by Anis Ben-Hatira with a cross.,1,attempt block marcell jansen hamburg header centre box block assisted ani ben hatira cross
92,"Goal!  Borussia Dortmund 3, Hamburg 1. Robert Tesche (Hamburg) left footed shot from the centre of the box to the bottom left corner following a corner.",1,goal borussia dortmund hamburg robert tesche hamburg leave foot shot centre box bottom leave corner follow corner
93,Attempt saved. Marcell Jansen (Hamburg) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Gokhan Tore.,1,attempt save marcell jansen hamburg leave foot shot leave side box save centre goal assist gokhan tore
94,Foul by Heiko Westermann (Hamburg).,3,foul heiko westermann hamburg
95,Robert Lewandowski (Borussia Dortmund) wins a free kick in the attacking half.,8,robert lewandowski borussia dortmund win free kick attack half
96,"Attempt missed. Ivan Perisic (Borussia Dortmund) right footed shot from outside the box is close, but misses to the right from a direct free kick.",1,attempt miss ivan perisic borussia dortmund right foot shot outside box close miss right direct free kick
97,Foul by Marcell Jansen (Hamburg).,3,foul marcell jansen hamburg
98,Lukasz Piszczek (Borussia Dortmund) wins a free kick in the defensive half.,8,lukasz piszczek borussia dortmund win free kick defensive half
99,Foul by Robert Lewandowski (Borussia Dortmund).,3,foul robert lewandowski borussia dortmund
100,Dennis Diekmeier (Hamburg) wins a free kick in the defensive half.,8,dennis diekmeier hamburg win free kick defensive half
101,Robert Lewandowski (Borussia Dortmund) is shown the yellow card for a bad foul.,4,robert lewandowski borussia dortmund show yellow card bad foul
102,"Offside, Hamburg. Marcell Jansen tries a through ball, but Dennis Aogo is caught offside.",9,offside hamburg marcell jansen try ball dennis aogo catch offside
103,Attempt missed. Kevin Grosskreutz (Borussia Dortmund) right footed shot from more than 35 yards is too high.,1,attempt miss kevin grosskreutz borussia dortmund right foot shot yard high
104,Foul by Felipe Santana (Borussia Dortmund).,3,foul felipe santana borussia dortmund
105,Mladen Petric (Hamburg) wins a free kick on the left wing.,8,mladen petric hamburg win free kick leave wing
106,Ilkay Gundogan (Borussia Dortmund) wins a free kick in the attacking half.,8,ilkay gundogan borussia dortmund win free kick attack half
107,"Substitution, Borussia Dortmund. Sebastian Kehl replaces Shinji Kagawa.",7,substitution borussia dortmund sebastian kehl replaces shinji kagawa
108,"Corner,  Hamburg. Conceded by Sven Bender.",2,corner hamburg concede sven bender
109,Foul by Robert Tesche (Hamburg).,3,foul robert tesche hamburg
110,Sascha Molders (FC Augsburg) wins a free kick in the attacking half.,8,sascha molders fc augsburg win free kick attack half
111,Foul by Heiko Butscher (SC Freiburg).,3,foul heiko butscher sc freiburg
112,Attempt saved. Jonas De Roeck (FC Augsburg) header from the centre of the box is saved in the bottom left corner. Assisted by Daniel Baier.,1,attempt save jonas de roeck fc augsburg header centre box save bottom leave corner assist daniel baier
113,Sascha Molders (FC Augsburg) wins a free kick in the defensive half.,8,sascha molders fc augsburg win free kick defensive half
114,Foul by Mensur Mujdza (SC Freiburg).,3,foul mensur mujdza sc freiburg
115,Foul by Lorenzo Davids (FC Augsburg).,3,foul lorenzo david fc augsburg
116,Yacine Abdessadki (SC Freiburg) wins a free kick in the attacking half.,8,yacine abdessadki sc freiburg win free kick attack half
117,Foul by Marcel de Jong (FC Augsburg).,3,foul marcel de jong fc augsburg
118,Marcel de Jong (FC Augsburg) is shown the yellow card for a bad foul.,4,marcel de jong fc augsburg show yellow card bad foul
119,Mensur Mujdza (SC Freiburg) wins a free kick on the right wing.,8,mensur mujdza sc freiburg win free kick right wing
120,Tobias Werner (FC Augsburg) wins a free kick in the attacking half.,8,tobias werner fc augsburg win free kick attack half
121,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
122,Foul by Tobias Werner (FC Augsburg).,3,foul tobias werner fc augsburg
123,Cedric Makiadi (SC Freiburg) wins a free kick in the defensive half.,8,cedric makiadi sc freiburg win free kick defensive half
124,Oliver Barth (SC Freiburg) wins a free kick in the defensive half.,8,oliver barth sc freiburg win free kick defensive half
125,Tobias Werner (FC Augsburg) is shown the yellow card for a bad foul.,4,tobias werner fc augsburg show yellow card bad foul
126,Uwe Mohrle (FC Augsburg) wins a free kick in the defensive half.,8,uwe mohrle fc augsburg win free kick defensive half
127,Foul by Heiko Butscher (SC Freiburg).,3,foul heiko butscher sc freiburg
128,Sascha Molders (FC Augsburg) wins a free kick in the attacking half.,8,sascha molders fc augsburg win free kick attack half
129,Foul by Lorenzo Davids (FC Augsburg).,3,foul lorenzo david fc augsburg
130,Foul by Heiko Butscher (SC Freiburg).,3,foul heiko butscher sc freiburg
131,Cedric Makiadi (SC Freiburg) wins a free kick in the attacking half.,8,cedric makiadi sc freiburg win free kick attack half
132,Attempt missed. Daniel Caligiuri (SC Freiburg) right footed shot from the right side of the box misses to the left. Assisted by Mensur Mujdza.,1,attempt miss daniel caligiuri sc freiburg right foot shot right side box miss leave assisted mensur mujdza
133,"Corner,  SC Freiburg. Conceded by Uwe Mohrle.",2,corner sc freiburg concede uwe mohrle
134,Daniel Baier (FC Augsburg) wins a free kick on the left wing.,8,daniel baier fc augsburg win free kick leave wing
135,Foul by Oliver Barth (SC Freiburg).,3,foul oliver barth sc freiburg
136,Attempt missed. Marcel de Jong (FC Augsburg) left footed shot from outside the box is too high following a set piece situation.,1,attempt miss marcel de jong fc augsburg leave foot shot outside box high follow set piece situation
137,Foul by Jan-Ingwer Callsen-Bracker (FC Augsburg).,3,foul jan ingwer callsen bracker fc augsburg
138,Johannes Flum (SC Freiburg) wins a free kick in the attacking half.,8,johannes flum sc freiburg win free kick attack half
139,Daniel Baier (FC Augsburg) wins a free kick in the defensive half.,8,daniel baier fc augsburg win free kick defensive half
140,Attempt blocked. Cedric Makiadi (SC Freiburg) right footed shot from outside the box is blocked. Assisted by Oliver Barth.,1,attempt block cedric makiadi sc freiburg right foot shot outside box block assist oliver barth
141,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
142,"Corner,  FC Augsburg. Conceded by Mensur Mujdza.",2,corner fc augsburg concede mensur mujdza
143,Jonas De Roeck (FC Augsburg) wins a free kick in the defensive half.,8,jonas de roeck fc augsburg win free kick defensive half
144,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
145,Daniel Baier (FC Augsburg) wins a free kick in the defensive half.,8,daniel baier fc augsburg win free kick defensive half
146,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
147,Attempt saved. Marcel Ndjeng (FC Augsburg) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Daniel Baier.,1,attempt save marcel ndjeng fc augsburg right foot shot left side box save bottom leave corner assist daniel baier
148,Tobias Werner (FC Augsburg) wins a free kick on the right wing.,8,tobias werner fc augsburg win free kick right wing
149,Attempt saved. Sascha Molders (FC Augsburg) right footed shot from very close range is saved in the centre of the goal. Assisted by Marcel de Jong with a cross.,1,attempt save sascha molders fc augsburg right foot shot close range save centre goal assist marcel de jong cross
150,Foul by Yacine Abdessadki (SC Freiburg).,3,foul yacine abdessadki sc freiburg
151,Marcel de Jong (FC Augsburg) wins a free kick in the attacking half.,8,marcel de jong fc augsburg win free kick attack half
152,Foul by Oliver Barth (SC Freiburg).,3,foul oliver barth sc freiburg
153,Oliver Barth (SC Freiburg) is shown the yellow card for a bad foul.,4,oliver barth sc freiburg show yellow card bad foul
154,Marcel Ndjeng (FC Augsburg) wins a free kick in the defensive half.,8,marcel ndjeng fc augsburg win free kick defensive half
155,Foul by Yacine Abdessadki (SC Freiburg).,3,foul yacine abdessadki sc freiburg
156,Marcel de Jong (FC Augsburg) wins a free kick on the left wing.,8,marcel de jong fc augsburg win free kick leave wing
157,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
158,Foul by Jonas De Roeck (FC Augsburg).,3,foul jonas de roeck fc augsburg
159,Attempt missed. Marcel Ndjeng (FC Augsburg) right footed shot from outside the box misses to the left.,1,attempt miss marcel ndjeng fc augsburg right foot shot outside box miss leave
160,Oliver Barth (SC Freiburg) wins a free kick in the defensive half.,8,oliver barth sc freiburg win free kick defensive half
161,"Corner,  FC Augsburg. Conceded by Yacine Abdessadki.",2,corner fc augsburg concede yacine abdessadki
162,Attempt missed. Marcel de Jong (FC Augsburg) left footed shot from outside the box is too high. Assisted by Jan-Ingwer Callsen-Bracker following a corner.,1,attempt miss marcel de jong fc augsburg leave foot shot outside box high assist jan ingwer callsen bracker follow corner
163,Foul by Jonas De Roeck (FC Augsburg).,3,foul jonas de roeck fc augsburg
164,Daniel Caligiuri (SC Freiburg) wins a free kick in the attacking half.,8,daniel caligiuri sc freiburg win free kick attack half
165,Attempt blocked. Julian Schuster (SC Freiburg) right footed shot from outside the box is blocked.,1,attempt block julian schuster sc freiburg right foot shot outside box block
166,Tobias Werner (FC Augsburg) wins a free kick in the defensive half.,8,tobias werner fc augsburg win free kick defensive half
167,"Corner,  SC Freiburg. Conceded by Lorenzo Davids.",2,corner sc freiburg concede lorenzo david
168,Foul by Cedric Makiadi (SC Freiburg).,3,foul cedric makiadi sc freiburg
169,Foul by Jonas De Roeck (FC Augsburg).,3,foul jonas de roeck fc augsburg
170,Daniel Caligiuri (SC Freiburg) wins a free kick in the attacking half.,8,daniel caligiuri sc freiburg win free kick attack half
171,Attempt saved. Cedric Makiadi (SC Freiburg) right footed shot from a difficult angle on the left is saved in the bottom left corner. Assisted by Johannes Flum.,1,attempt save cedric makiadi sc freiburg right foot shot difficult angle leave saved bottom leave corner assist johannes flum
172,Tobias Werner (FC Augsburg) wins a free kick in the defensive half.,8,tobias werner fc augsburg win free kick defensive half
173,"Substitution, FC Augsburg. Axel Bellinghausen replaces Tobias Werner.",7,substitution fc augsburg axel bellinghausen replaces tobias werner
174,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
175,"Goal!  FC Augsburg 0, SC Freiburg 1. Papiss Demba Cisse (SC Freiburg) right footed shot from outside the box to the bottom left corner. Assisted by Felix Bastians following a fast break.",1,goal fc augsburg sc freiburg papiss demba cisse sc freiburg right foot shot outside box bottom leave corner assist felix bastians follow fast break
176,Foul by Jan-Ingwer Callsen-Bracker (FC Augsburg).,3,foul jan ingwer callsen bracker fc augsburg
177,Cedric Makiadi (SC Freiburg) wins a free kick in the defensive half.,8,cedric makiadi sc freiburg win free kick defensive half
178,Marcel Ndjeng (FC Augsburg) wins a free kick on the right wing.,8,marcel ndjeng fc augsburg win free kick right wing
179,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
180,Jonas De Roeck (FC Augsburg) wins a free kick in the defensive half.,8,jonas de roeck fc augsburg win free kick defensive half
181,Foul by Mensur Mujdza (SC Freiburg).,3,foul mensur mujdza sc freiburg
182,"Corner,  FC Augsburg. Conceded by Oliver Barth.",2,corner fc augsburg concede oliver barth
183,"Goal!  FC Augsburg 1, SC Freiburg 1. Sascha Molders (FC Augsburg) header from the centre of the box to the top left corner. Assisted by Axel Bellinghausen with a cross.",1,goal fc augsburg sc freiburg sascha molders fc augsburg header centre box top leave corner assist axel bellinghausen cross
184,"Goal!  FC Augsburg 1, SC Freiburg 2. Cedric Makiadi (SC Freiburg) header from the centre of the box to the top left corner. Assisted by Mensur Mujdza with a cross.",1,goal fc augsburg sc freiburg cedric makiadi sc freiburg header centre box top leave corner assist mensur mujdza cross
185,"Corner,  SC Freiburg. Conceded by Jonas De Roeck.",2,corner sc freiburg concede jonas de roeck
186,Attempt blocked. Daniel Caligiuri (SC Freiburg) right footed shot from outside the box is blocked. Assisted by Papiss Demba Cisse.,1,attempt block daniel caligiuri sc freiburg right foot shot outside box block assisted papiss demba cisse
187,Axel Bellinghausen (FC Augsburg) wins a free kick on the left wing.,8,axel bellinghausen fc augsburg win free kick leave wing
188,Foul by Marcel de Jong (FC Augsburg).,3,foul marcel de jong fc augsburg
189,Foul by Julian Schuster (SC Freiburg).,3,foul julian schuster sc freiburg
190,Papiss Demba Cisse (SC Freiburg) wins a free kick in the defensive half.,8,papiss demba cisse sc freiburg win free kick defensive half
191,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
192,Daniel Caligiuri (SC Freiburg) is shown the yellow card for a bad foul.,4,daniel caligiuri sc freiburg show yellow card bad foul
193,"Corner,  FC Augsburg. Conceded by Heiko Butscher.",2,corner fc augsburg concede heiko butscher
194,Attempt saved. Sascha Molders (FC Augsburg) header from the centre of the box is saved in the centre of the goal. Assisted by Daniel Baier with a cross.,1,attempt save sascha molders fc augsburg header centre box save centre goal assist daniel baier cross
195,"Substitution, FC Augsburg. Akaki Gogia replaces Marcel Ndjeng.",7,substitution fc augsburg akaki gogia replaces marcel ndjeng
196,Axel Bellinghausen (FC Augsburg) wins a free kick on the left wing.,8,axel bellinghausen fc augsburg win free kick leave wing
197,Foul by Johannes Flum (SC Freiburg).,3,foul johannes flum sc freiburg
198,"Attempt missed. Mensur Mujdza (SC Freiburg) left footed shot from outside the box is close, but misses to the right. Assisted by Daniel Caligiuri following a fast break.",1,attempt miss mensur mujdza sc freiburg leave foot shot outside box close miss right assist daniel caligiuri follow fast break
199,Axel Bellinghausen (FC Augsburg) wins a free kick in the attacking half.,8,axel bellinghausen fc augsburg win free kick attack half
200,Akaki Gogia (FC Augsburg) wins a free kick on the right wing.,8,akaki gogia fc augsburg win free kick right wing
201,Foul by Daniel Caligiuri (SC Freiburg).,3,foul daniel caligiuri sc freiburg
202,Foul by Felix Bastians (SC Freiburg).,3,foul felix bastians sc freiburg
203,Marcel de Jong (FC Augsburg) wins a free kick on the left wing.,8,marcel de jong fc augsburg win free kick leave wing
204,Attempt saved. Sascha Molders (FC Augsburg) header from the centre of the box is saved in the bottom right corner. Assisted by Daniel Baier with a cross.,1,attempt save sascha molders fc augsburg header centre box save bottom right corner assist daniel baier cross
205,Foul by Cedric Makiadi (SC Freiburg).,3,foul cedric makiadi sc freiburg
206,"Substitution, FC Augsburg. Stephan Hain replaces Lorenzo Davids.",7,substitution fc augsburg stephan hain replaces lorenzo david
207,Foul by Uwe Mohrle (FC Augsburg).,3,foul uwe mohrle fc augsburg
208,Papiss Demba Cisse (SC Freiburg) wins a free kick in the attacking half.,8,papiss demba cisse sc freiburg win free kick attack half
209,Foul by Daniel Baier (FC Augsburg).,3,foul daniel baier fc augsburg
210,Julian Schuster (SC Freiburg) wins a free kick in the defensive half.,8,julian schuster sc freiburg win free kick defensive half
211,"Goal!  FC Augsburg 2, SC Freiburg 2. Sascha Molders (FC Augsburg) header from the centre of the box to the bottom left corner. Assisted by Akaki Gogia with a cross.",1,goal fc augsburg sc freiburg sascha molders fc augsburg header centre box bottom leave corner assist akaki gogia cross
212,Axel Bellinghausen (FC Augsburg) wins a free kick on the left wing.,8,axel bellinghausen fc augsburg win free kick leave wing
213,Foul by Mensur Mujdza (SC Freiburg).,3,foul mensur mujdza sc freiburg
214,"Substitution, SC Freiburg. Anton Putsila replaces Cedric Makiadi because of an injury.",7,substitution sc freiburg anton putsila replaces cedric makiadi injury
215,Foul by Sascha Molders (FC Augsburg).,3,foul sascha molders fc augsburg
216,"Corner,  FC Augsburg. Conceded by Julian Schuster.",2,corner fc augsburg concede julian schuster
217,Heiko Butscher (SC Freiburg) wins a free kick in the defensive half.,8,heiko butscher sc freiburg win free kick defensive half
218,Mensur Mujdza (SC Freiburg) is shown the yellow card.,4,mensur mujdza sc freiburg show yellow card
219,Foul by Jan-Ingwer Callsen-Bracker (FC Augsburg).,3,foul jan ingwer callsen bracker fc augsburg
220,Anton Putsila (SC Freiburg) wins a free kick on the left wing.,8,anton putsila sc freiburg win free kick leave wing
221,"Corner,  SC Freiburg. Conceded by Jonas De Roeck.",2,corner sc freiburg concede jonas de roeck
222,"Substitution, SC Freiburg. Garra Dembele replaces Daniel Caligiuri.",7,substitution sc freiburg garra dembele replaces daniel caligiuri
223,Garra Dembele (SC Freiburg) wins a free kick in the defensive half.,8,garra dembele sc freiburg win free kick defensive half
224,Foul by Axel Bellinghausen (FC Augsburg).,3,foul axel bellinghausen fc augsburg
225,"Offside, FC Augsburg. Simon Jentzsch tries a through ball, but Stephan Hain is caught offside.",9,offside fc augsburg simon jentzsch try ball stephan hain catch offside
226,Daniel Baier (FC Augsburg) wins a free kick in the defensive half.,8,daniel baier fc augsburg win free kick defensive half
227,Attempt blocked. Sascha Molders (FC Augsburg) left footed shot from outside the box is blocked. Assisted by Jan-Ingwer Callsen-Bracker with a headed pass.,1,attempt block sascha molders fc augsburg leave foot shot outside box block assisted jan ingwer callsen bracker head pas
